2018-07-30 19:38:24.667225|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.3 (2015-04-13 13:26:31)
2018-07-30 19:38:24.672286|INFO    |ServerLibPriv |   | SystemInformation: Linux 4.4.0-131-generic #157-Ubuntu SMP Thu Jul 12 15:51:36 UTC 2018 x86_64 Binary: 64bit
2018-07-30 19:38:24.681366|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2018-07-30 19:38:24.681971|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2018-07-30 19:38:24.684237|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2018-07-30 19:38:24.706585|WARNING |Accounting    |   | Unable to find valid license key, falling back to limited functionality
2018-07-30 19:38:25.315710|INFO    |              |   | Puzzle precompute time: 591
2018-07-30 19:38:25.317529|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2018-07-30 19:38:25.317619|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Name or service not known) 2
2018-07-30 19:38:25.317642|ERROR   |              |   | Could not open default UDP connection for weblist
2018-07-30 19:38:25.338635|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2018-07-30 19:38:25.339071|INFO    |Query         |   | listening on 0.0.0.0:10011
2018-08-01 00:02:24.801845|INFO    |VirtualSvrMgr |   | executing monthly interval
2018-08-01 00:02:24.803941|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2018-08-20 09:25:50.005248|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 09:25:52.024249|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 09:35:48.133006|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 09:35:50.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 09:35:52.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 09:45:48.140118|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 09:45:50.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 09:45:52.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 09:55:48.124202|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 09:55:50.029239|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 09:55:52.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 10:05:48.121589|ERROR   |              |   | TS3ANetwork::Send failed error: 111
